,code,density
0,    AL,87.6
1,    AK,1.1
2,    AZ,45.2
3,    AR,51.3
4,    CA,217.2
5,    CO,41.5
6,    CT,702.9
7,    DE,401.1
8,    FL,296.4
9,    GA,141.4
10,    HI,188.6
11,    ID,15.6
12,    IL,223.4
13,    IN,169.5
14,    IA,52.4
15,    KS,32.9
16,    KY,101.7
17,    LA,102.6
18,    ME,41.3
19,    MD,541.9
20,    MA,809.8
21,    MI,175.0
22,    MN,61.8
23,    MS,60.6
24,    MO,81.2
25,    MT,6.2
26,    NE,22.3
27,    NV,18.2
28,    NH,137.8
29,    NJ,1134.4
30,    NM,15.0
31,    NY,401.9
32,    NC,165.2
33,    ND,9.3
34,    OH,277.3
35,    OK,50.3
36,    OR,35.6
37,    PA,274.0
38,    RI,1003.2
39,    SC,133.2
40,    SD,9.9
41,    TN,138.0
42,    TX,79.6
43,    UT,27.2
44,    VT,65.8
45,    VA,178.8
46,    WA,88.6
47,    WV,75.1
48,    WI,98.8
49,    WY,5.1
