,State,Population_Type,Population_Amount
0,Alabama,Urban,2465673.0
1,Alaska,Urban,411257.0
2,Arizona,Urban,4523535.0
3,Arkansas,Urban,1404179.0
4,California,Urban,31989663.0
5,Colorado,Urban,3633185.0
6,Connecticut,Urban,2988059.0
7,Delaware,Urban,627758.0
8,Florida,Urban,14270020.0
9,Georgia,Urban,5864163.0
10,Hawaii,Urban,1108225.0
11,Idaho,Urban,859497.0
12,Illinois,Urban,10909520.0
13,Indiana,Urban,4304011.0
14,Iowa,Urban,1787432.0
15,Kansas,Urban,1920669.0
16,Kentucky,Urban,2253800.0
17,Louisiana,Urban,3245665.0
18,Maine,Urban,512878.00000000006
19,Maryland,Urban,4558668.0
20,Massachusetts,Urban,5801367.0
21,Michigan,Urban,7419457.0
22,Minnesota,Urban,3490059.0
23,Mississippi,Urban,1387351.0
24,Missouri,Urban,3883442.0
25,Montana,Urban,487878.0
26,Nebraska,Urban,1193725.0
27,Nevada,Urban,1828646.0
28,New Hampshire,Urban,732335.0
29,New Jersey,Urban,7939087.0
30,New Mexico,Urban,1363501.0
31,New York,Urban,16602581.999999998
32,North Carolina,Urban,4849482.0
33,North Dakota,Urban,358958.0
34,Ohio,Urban,8782329.0
35,Oklahoma,Urban,2254563.0
36,Oregon,Urban,2694144.0
37,Pennsylvania,Urban,9464101.0
38,Rhode Island,Urban,953146.0
39,South Carolina,Urban,2427124.0
40,South Dakota,Urban,391427.0
41,Tennessee,Urban,3620018.0
42,Texas,Urban,17204281.0
43,Utah,Urban,1970344.0
44,Vermont,Urban,232448.0
45,Virginia,Urban,5169955.0
46,Washington,Urban,4831106.0
47,West Virginia,Urban,832780.0
48,Wisconsin,Urban,3663643.0
49,Wyoming,Urban,321344.0
50,Alabama,Rural,1981427.0
51,Alaska,Rural,215675.0
52,Arizona,Rural,607097.0
53,Arkansas,Rural,1269221.0
54,California,Rural,1881985.0
55,Colorado,Rural,668076.0
56,Connecticut,Rural,417506.0
57,Delaware,Rural,155842.0
58,Florida,Rural,1712358.0
59,Georgia,Rural,2322290.0
60,Hawaii,Rural,103312.0
61,Idaho,Rural,434456.0
62,Illinois,Rural,1509773.0
63,Indiana,Rural,1776474.0
64,Iowa,Rural,1138892.0
65,Kansas,Rural,767749.0
66,Kentucky,Rural,1787969.0
67,Louisiana,Rural,1223311.0
68,Maine,Rural,762045.0
69,Maryland,Rural,737818.0
70,Massachusetts,Rural,547730.0
71,Michigan,Rural,2518987.0
72,Minnesota,Rural,1429420.0
73,Mississippi,Rural,1457307.0
74,Missouri,Rural,1711769.0
75,Montana,Rural,414317.0
76,Nebraska,Rural,517538.0
77,Nevada,Rural,169611.0
78,New Hampshire,Rural,503451.0
79,New Jersey,Rural,475263.0
80,New Mexico,Rural,455545.0
81,New York,Rural,2373875.0
82,North Carolina,Rural,3199831.0
83,North Dakota,Rural,283242.0
84,Ohio,Rural,2570811.0
85,Oklahoma,Rural,1196091.0
86,Oregon,Rural,727255.0
87,Pennsylvania,Rural,2816953.0
88,Rhode Island,Rural,95173.0
89,South Carolina,Rural,1584888.0
90,South Dakota,Rural,363417.0
91,Tennessee,Rural,2069264.9999999998
92,Texas,Rural,3647539.0
93,Utah,Rural,262825.0
94,Vermont,Rural,376379.0
95,Virginia,Rural,1908560.0
96,Washington,Rural,1063015.0
97,West Virginia,Rural,975564.0
98,Wisconsin,Rural,1700032.0
99,Wyoming,Rural,172438.0
